"Australian energy consumption, by fuel, physical units",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Consumption of fuels a,,,,,,,,,,,,,,,Production of derived fuels a,,,,
,Black coal,Brown coal,Coke,Coal by-products,Liquid/gas biofuels,"Wood, woodwaste",Bagasse,Refinery input b,Petroleum products c,Natural gas,Town gas,Electricity,Solar hotwater,,,Coke,Coal by-products,Petroleum products c,Town gas,Thermal electricity
,kt,kt,kt,PJ,PJ,kt,kt,PJ,ML,Mcm,Mcm,GWh,GWh,,,kt,PJ,ML,Mcm,GWh
2001,59769,71122,3107,68,na,6781,10262,1702,48615,24317,86,224641,723,,,"3,514.00",62,"46,239.00",130,"205,584.00"
2002,61159,71942,3025,69,na,5856,9557,1675,49142,24684,87,227563,752,,,"3,442.00",64,"45,237.00",131,"209,111.00"
2003,63478,67012,2637,86,11,6503,9908,1629,49889,24501,134,221980,771,,,"3,301.00",76.9,"44,865.80",130.7,"204,869.90"
2004,67187,68407,2839,83,11,6372,10532,1531,52738,25324,133,229627,727,,,"3,537.60",67.4,"44,593.30",130.7,"212,671.90"
2005,69274,68249,2729,82,9,6199,11282,1544,54321,25884,134,228370,729,,,"3,519.00",72.3,"45,119.10",130.8,"212,075.00"
2006,70218,69576,2690,83,10,6106,11360,1409,55249,25976,130,232549,676,,,"3,361.80",73.9,"39,708.50",128.3,"214,997.10"
2007,71414,69141,2716,80,11,6092,11545,1506,55905,29384,128,242849,1667,,,"3,359.80",70.3,"42,555.40",120.5,"225,919.80"
2008,70059,69492,2762,81,15,6096,11546,1465,57412,30355,98,242924,1852,,,"3,360.40",71,"43,112.90",94,"227,944.10"
2009,71398,71884,2364,62,20,5506,6816,1481,56984,32473,28,247433,2290,,,"2,500.80",58.2,"42,683.10",11.3,"231,675.30"
2010,66127,71167,2801,72,22,5403,9722,1438,57730,32605,11,252454,2913,,,"3,166.00",67.8,"40,833.80",8.5,"233,253.40"
2011,62307,69930,2925,75,27,5231,8682,1633,60155,33007,13,253080,3238,,,"3,386.50",69.7,"44,453.00",6.4,"229,154.70"
2012,60077,71233,2179,60,28,5152,8839,1558,62642,34712,5,249972,3439,,,"2,984.00",55.4,"45,506.50",4.8,"227,127.90"
2013,58358,62307,2104,53,26,5647,9881,1551,64147,35694,3,249115,3651,,,"3,139.10",51.7,"44,463.70",0,"219,652.70"
2014,55260,60591,2053,50,29,5744,9399,1450,64574,36472,3,249037,3675,,,"2,918.80",48.9,"41,695.00",0,"215,947.30"
2015,55913,64498,2109,46,28,5700,10717,1266,63653,36814,1,252392,4123,,,"2,663.10",44.7,"37,512.50",0,"221,947.40"
2016,59261,61978,2136,46,23,5937,10648,1106,63592,37962,1,257430,4132,,,"2,702.50",44.2,"32,106.70",0,"223,072.40"
2017,61141,55950,2158,46,22,6022,11489,1073,64859,38772,1,258027,4361,,,"2,622.20",45.5,"31,271.00",0,"221,062.90"
2018,62211,45319,2183,45,23,5800,10440,1134,65584,40304,2,261056,4600,,,"2,522.50",44.1,"32,247.40",0,"219,931.00"
2019,60957,43031,2111,42,24,5703,9513,1125,66157,41123,2,264027,4859,,,"2,319.60",41.3,"31,802.80",0,"215,499.00"
,63450.94737,64885.73684,2506.736842,64.68421053,19.94117647,5886.842105,10112.52632,1435.578947,58597.26316,32124.36842,52.63157895,244448.7368,2588.315789,,,,,,,
