Year,Black coal,Brown coal,Crude oil and NGL,Naturally occurring LPG,Natural gas a,Ethane,Liquid/gas biofuels,Wood,Bagasse,Wind b,Solar PV,Solar hotwater
,kt,kt, ML, ML,Mcm,Mcm,PJ,kt,kt,  GWh,  GWh,PJ
2001,258218,68118,39839,4056,34490,676,2,6751,10262,210,50,3
2002,273236,70026,37820,4612,35039,538,2,5863,9557,364,58,3
2003,271614,70049,33320,4682,36826,406,11,6503,9908,0,0,3
2004,280753,69551,27876,4639,36872,380,11,6372,10532,0,0,3
2005,300034,70533,25372,4628,41194,407,9,6199,11282,0,0,3
2006,303402,71216,23152,4722,42701,456,10,6106,11360,0,0,2
2007,321391,69493,27868,4550,45301,439,11,6092,11545,0,0,6
2008,322164,69907,25870,3971,47199,454,15,6096,11546,0,0,7
2009,335611,71871,27785,3929,49470,395,20,5506,6816,3824,156,8
2010,363329,72547,26895,3531,52651,339,23,5403,9722,5052,425,11
2011,344400,70404,25583,3343,58118,267,27,5231,8682,6085,1531,12
2012,362709,71991,24014,3251,55184,331,28,5152,8839,6970,2559,12
2013,396095,62335,21214,3063,62976,327,26,5647,9881,7960,3826,13
2014,429975,60606,20140,3348,64767,361,29,5744,9399,10252,4416,13
2015,444365,66895,19061,2970,68073,345,28,5700,10717,11467,5531,15
2016,437316,60639,18395,2712,83170,na,23,5937,10648,12200,6838,15
2017,443002,56719,16133,2692,106137,na,22,6022,11489,12597,8082,16
2018,449938,45956,15460,2750,121286,na,23,5800,10440,15174,9930,17
2019,453813,43315,18293,3633,145185,na,24,5703,9513,17712,14849,18
,357440,65377.42105,24952.10526,3741.157895,62454.68421,408.0666667,18.10526316,5885.631579,10112.52632,5782.473684,3065.842105,9.473684211
,362662,,,,,,,,,,,
