  Fuels_ consumed,colour,Feb-01,Mar-02,Apr-03,May-04,Jun-05,Jul-06,Aug-07,Sep-08,Oct-09,Nov-10,Dec-11,y2012-13,y2013-14,y2014-15,y2015-16,y2016-17,y2017-18,y2018_19
"    Wood, woodwaste        ",#0074D9,32.3,30.7,30,29.2,28.1,27.4,26.5,18.4,17.6,17.2,17.5,25.9,26,26.5,25.9,26.4,25.4,26
    LPG                    ,#F44336,42.1,40.6,40.5,37.9,40.7,37.3,35.9,34.3,32.7,34.6,33.2,34,36.7,36.3,35.3,30,19.8,16.7
    Auto gasoline-leaded   ,#C51162,22.4,10.3,0.9,,,0,0,,,,,,,,,,,
    Auto gasoline-unleaded ,#AA00FF,141.5,151.5,167.5,168.4,167.2,168.1,168.1,164.3,165,170,163.2,163.7,161.5,164.1,152.6,159.7,152.4,152.3
    Aviation gasoline      ,#18FFFF,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.6
    Aviation turbine fuel  ,#F57F17,35.8,34.6,37.9,44.1,44.7,50.1,41.8,47.4,47.9,43.8,43.7,49.2,54.3,54.5,58.6,61.9,75.7,86.5
    Kerosene and Heating oil  ,#BF360C,0.9,1,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,1.7,6.1,0.2,0.1
    Diesel                    ,#795548,85.9,94.2,97.5,103.2,105.1,105.2,108.5,113,120,124.8,129.4,132.1,137,144,147.8,154.1,161.2,162.5
    Fuel oil               ,#F44336,13.5,13.5,16.1,11.6,11.3,10.5,13.7,5.9,5.8,6,5.1,2.7,2.6,1.7,2.2,2,2,6.1
    Petroleum products nec ,#78909C,49.9,47.3,70.4,72.3,69.7,71.8,75.9,66.6,64.9,87.8,88.3,103.2,97.2,90.5,105.6,92.4,80.1,83.5
    Solvents b         ,#F4FF81,2.8,2.6,2.6,2.6,2.5,2.5,2.6,2,,,,,,,,,,
    Lubricants and greases   ,#E57373,4.4,4.6,4.4,4,3.9,3.6,3.8,3.4,4,4,2.4,2.3,2.2,2.3,1.9,2,1.8,1.9
    Bitumen b       ,#D50000,8.5,6.9,6.5,7.1,6.9,7.9,8.3,6.4,,,,,,,,,,
    Natural gas            ,#B9F6CA,251,247.5,259.4,259.1,258.6,259.2,269.4,273.5,263.5,258.6,263.6,276.2,281.4,277.8,280.9,283.4,291.3,283.9
    Town gas               ,#E0F2F1,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.8,0.1,0.2,0.1,0,0,0,0,0,0,0
    Solar energy           ,#1DE9B6,0.2,0.2,0.2,0.2,0.2,0.4,0.6,1.1,1.7,2,2.2,2.4,2.4,2.9,2.9,3.2,3.5,3.8
    Electricity            ,#E0F2F1,186.7,177.6,179.9,182.3,186.8,193.2,192.3,190.7,195.8,185.6,187.5,182.5,179.1,178.6,177.9,170.7,172.8,171.7
    Liquid/Gas Biofuels,#CDDC39,0.1,2.4,2.4,2,1.9,1.8,3.8,4,4.2,5.5,6.2,6,7,6.6,5.9,5.4,6,6.3
