Total ,,,,,,,,,,
  Fuels_consumed(PJ),color,AUS,VIC,NSW,QLD,WA,SA,TAS,NT,
    Black coal             ,#827717,1363.0,0.0,651.8,551.6,126.3,0.0,0.0,0.0,
    Brown coal             ,#EF6C00,443.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Coke                   ,#A1887F,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Coal byproducts        ,#E0F2F1,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"    Wood, woodwaste        ",#0074D9,92.4,26.0,34.6,8.1,7.8,10.0,5.8,0.1,
    Bagasse                ,#F44336,91.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,
    Crude Oil and Other Refinery feedstock     ,#C51162,1124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    LPG                    ,#AA00FF,54.5,16.7,15.1,11.4,4.8,4.4,1.5,0.7,
    Auto gasoline-unleaded ,#F57F17,607.8,152.3,188.2,139.8,72.0,41.6,9.4,4.4,
    Aviation gasoline      ,#BF360C,2.2,0.6,0.1,0.6,0.2,0.2,0.0,0.4,
    Aviation turbine fuel  ,#795548,347.6,86.5,129.3,71.9,37.9,13.0,1.0,8.1,
    Kerosene and Heating oil  ,#F44336,0.6,0.1,0.1,0.4,0.0,0.0,0.0,0.0,
    Diesel                    ,#78909C,1147.8,162.5,287.6,307.9,272.9,60.6,24.1,32.1,
    Fuel oil               ,#F4FF81,43.2,6.1,10.3,11.0,14.1,1.1,0.5,0.0,
    Petroleum products nec ,#E57373,188.5,83.5,31.7,31.5,27.4,9.8,4.5,0.2,
    Lubricants and greases   ,#B9F6CA,12.9,1.9,2.9,4.0,2.6,1.3,0.1,0.1,
    Natural gas            ,#1DE9B6,1592.7,283.9,131.4,292.6,668.7,114.1,10.0,91.9,
    Town gas               ,#E0F2F1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Solar energy           ,#CDDC39,17.5,3.8,4.4,3.0,4.4,1.0,0.4,0.4,
    Electricity            ,#D50000,950.5,171.7,278.3,234.5,150.9,55.9,43.1,16.0,
    Liquid/gas Biofuels               ,#18FFFF,23.7,6.3,10.3,4.1,1.6,1.1,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
